title,keyword,rate_score,StarRate_ParticipantCount
마찰열,#별점1000개이상#5000~1만원#현대물#까칠남#나쁜남자#바람둥이#절륜남#상처녀#재벌남#몸정>맘정#소유욕/독점욕/질투#집착남#냉정남#짝사랑녀#무심녀#더티토크#이야기중심#츤데레남#평점4점이상#리뷰100개이상#고수위#단행본,4.1,6105
"선생님, 여자 친구 예쁘네요",#별점1000개이상#3000~5000원#현대물#동정남#다정남#절륜남#계략남#순진녀#상처녀#몸정>맘정#소유욕/독점욕/질투#뇌섹남#능력남#사이다남#유혹남#집착남#냉정남#존댓말남#철벽녀#동정녀#더티토크#평점4점이상#리뷰100개이상#고수위#단행본,4.0,6416
"공작님, 아프니까 살살",#별점500개이상#5000~1만원#가상시대물#서양풍#첫사랑#정략결혼#까칠남#절륜남#능글남#왕족/귀족#재벌남#달달물#선결혼후연애#몸정>맘정#소유욕/독점욕/질투#능력남#평범녀#외유내강#리뷰100개이상#고수위#단행본,3.9,778
결혼시차,#별점1000개이상#5000~1만원#현대물#첫사랑#시월드#신파#정략결혼#나쁜남자#동정남#후회남#계략남#상처녀#오해#카리스마남#재벌남#권선징악#선결혼후연애#소유욕/독점욕/질투#능력남#직진남#냉정남#무심남#짝사랑녀#순정녀#철벽녀#동정녀#무심녀#외유내강#이야기중심#평점4점이상#리뷰100개이상#단행본,4.1,4753
1번국도,#별점1000개이상#3000~5000원#현대물#로맨틱코미디#첫사랑#재회물#절륜남#능글남#달달물#능력남#대형견남#무심녀#외유내강#평점4점이상#리뷰100개이상#단행본,4.5,6515
임신 계약,#별점1000개이상#3000~5000원#현대물#동거#첫사랑#신파#재회물#까칠남#나쁜남자#후회남#상처녀#재벌남#갑을관계#능력남#평범녀#순정녀#피폐물#조신남#츤데레남#평점4점이상#리뷰100개이상#썸딜#고수위#단행본,4.0,6866
완벽한 포식자,#별점1000개이상#1만원~2만원#현대물#동거#복수#첫사랑#동정남#절륜남#계략남#상처녀#능글남#재벌남#법조계#권선징악#소유욕/독점욕/질투#능력남#사이다남#집착남#존댓말남#순정녀#동정녀#더티토크#이야기중심#평점4점이상#리뷰100개이상#고수위#단행본,4.4,4464
C.C,#별점1000개이상#3000~5000원#현대물#캠퍼스물#동정남#절륜남#순진녀#달달물#비밀연애#능력남#철벽남#오만남#능력녀#집착녀#짝사랑녀#동정녀#외유내강#엉뚱녀#평점4점이상#리뷰100개이상#고수위#단행본,4.2,3363
파보르 (favor),#별점1000개이상#5000~1만원#현대물#속도위반#재회물#능글남#달달물#법조계#능력남#뇌섹녀#능력녀#외유내강#성장물#이야기중심#평점4점이상#리뷰100개이상#단행본,4.0,2439
그림자 없는 밤,#별점1000개이상#2만원초과#가상시대물#판타지물#서양풍#기억상실#까칠남#상처남#순진녀#왕족/귀족#영혼체인지/빙의#신분차이#운명적사랑#뇌섹남#능력남#냉정남#능력녀#사이다녀#직진녀#무심녀#걸크러시#털털녀#엉뚱녀#힐링물#성장물#이야기중심#여주중심#츤데레남#평점4점이상#리뷰100개이상#단행본,4.7,1969
"답장을 주세요, 왕자님",#별점1000개이상#5000~1만원#가상시대물#판타지물#서양풍#로맨틱코미디#첫사랑#친구>연인#순정남#동정남#다정남#능글남#왕족/귀족#잔잔물#달달물#운명적사랑#능력남#존댓말남#능력녀#다정녀#쾌활발랄녀#힐링물#조신남#평점4점이상#리뷰100개이상#단행본,4.8,5278
폐하의 밤,#별점1000개이상#1만원~2만원#궁정로맨스#판타지물#서양풍#복수#첫사랑#까칠남#나쁜남자#동정남#후회남#절륜남#순진녀#상처녀#오해#카리스마남#왕족/귀족#갑을관계#신분차이#소유욕/독점욕/질투#능력남#집착남#냉정남#오만남#존댓말남#다정녀#순정녀#평점4점이상#리뷰100개이상#고수위#단행본,4.2,3039
개정판 | 달빛이 내리는 검,#별점1000개이상#1만원~2만원#궁정로맨스#판타지물#동양풍#나이차커플#동정남#상처녀#카리스마남#능글남#왕족/귀족#달달물#권선징악#선결혼후연애#능력남#냉정남#존댓말남#대형견남#다정녀#순정녀#외유내강#엉뚱녀#츤데레남#신화물#평점4점이상#리뷰100개이상#단행본,4.3,3680
여름이 끝나면 불청객은 떠난다,#별점1000개이상#3000~5000원#현대물#나이차커플#동거#순정남#동정남#연하남#다정남#절륜남#상처녀#잔잔물#소유욕/독점욕/질투#직진남#애교남#짝사랑남#순진남#대형견남#평범녀#까칠녀#무심녀#조신남#츤데레남#평점4점이상#리뷰100개이상#단행본,4.6,8238
홍콩 익스프레스,#별점1000개이상#3000~5000원#현대물#동거#재회물#상처남#동정남#다정남#절륜남#계략남#상처녀#재벌남#외국인/혼혈#조직/암흑가#운명적사랑#직진남#유혹남#집착남#존댓말남#평범녀#다정녀#동정녀#외유내강#더티토크#이야기중심#츤데레남#평점4점이상#리뷰100개이상#고수위#단행본,4.1,6050
세상의 끝,#별점1000개이상#5000~1만원#현대물#삼각관계#재회물#나쁜남자#후회남#절륜남#상처녀#오해#재벌남#전문직#라이벌/앙숙#비밀연애#몸정>맘정#소유욕/독점욕/질투#집착남#오만남#능력녀#재벌녀#동정녀#무심녀#이야기중심#평점4점이상#리뷰100개이상#고수위#단행본,4.6,2549
어덜트 베이비,#별점1000개이상#3000~5000원#현대물#나이차커플#동거#순정남#연하남#상처녀#키잡물#직진남#짝사랑남#존댓말남#대형견남#평범녀#다정녀#철벽녀#외유내강#조신남#평점4점이상#리뷰100개이상#2016년출간#단행본,4.5,9395
불란서 사진관,#별점1000개이상#3000~5000원#현대물#첫사랑#재회물#전생/환생#상처남#순정남#동정남#연하남#다정남#상처녀#오래된연인#금단의관계#운명적사랑#존댓말남#다정녀#순정녀#동정녀#평점4점이상#리뷰100개이상#단행본,4.6,3572
음란한 노예계약,#별점1000개이상#5000~1만원#현대물#동거#로맨틱코미디#첫사랑#까칠남#나쁜남자#동정남#절륜남#순진녀#상처녀#오해#능글남#스포츠물#비밀연애#갑을관계#몸정>맘정#소유욕/독점욕/질투#능력남#직진남#집착남#오만남#평범녀#뇌섹녀#능력녀#유혹녀#짝사랑녀#순정녀#동정녀#엉뚱녀#평점4점이상#리뷰100개이상#고수위#단행본,4.4,8189
구렁이,#별점1000개이상#3000~5000원#현대물#첫사랑#신데렐라#재회물#친구>연인#나쁜남자#절륜남#계략남#순진녀#오해#소유욕/독점욕/질투#능력남#다정녀#추리/미스터리/스릴러#리뷰100개이상#고수위#단행본,3.7,3424
그저 여명일 뿐,#별점1000개이상#5000~1만원#현대물#학원물#첫사랑#재회물#친구>연인#순정남#상처녀#능글남#소유욕/독점욕/질투#능력남#능력녀#사이다녀#직진녀#까칠녀#츤데레남#평점4점이상#리뷰100개이상#단행본,4.6,3450
우리 집에는 쥐가 있다,#별점1000개이상#3000~5000원#현대물#동거#상처남#연하남#절륜녀#상처녀#애잔물#소유욕/독점욕/질투#여공남수#집착남#짝사랑남#존댓말남#능력녀#사이다녀#무심녀#도도녀#우월녀#털털녀#성장물#피폐물#평점4점이상#리뷰100개이상#2013년이전#단행본,4.4,5430
정실,#별점1000개이상#3000~5000원#동양풍#첫사랑#정략결혼#순정남#다정남#절륜남#오해#카리스마남#왕족/귀족#선결혼후연애#소유욕/독점욕/질투#집착남#순정녀#리뷰100개이상#고수위#단행본,3.9,3052
탐낼 수 없는,#별점1000개이상#5000~1만원#현대물#동거#복수#사내연애#재회물#동정남#다정남#절륜남#계략남#상처녀#재벌남#권선징악#비밀연애#소유욕/독점욕/질투#집착남#능력녀#짝사랑녀#동정녀#외유내강#이야기중심#평점4점이상#리뷰100개이상#고수위#단행본,4.1,2773
여러 해를 사는 나무여,#별점1000개이상#5000~1만원#가상시대물#동양풍#남장여자#초월적존재#후회남#절륜남#계략남#애잔물#신분차이#몸정>맘정#소유욕/독점욕/질투#유혹남#집착남#능력녀#냉정녀#외유내강#털털녀#더티토크#평점4점이상#리뷰100개이상#단행본,4.6,5584
결혼 장사,#별점1000개이상#1만원~2만원#궁정로맨스#판타지물#서양풍#나이차커플#정략결혼#동정남#절륜남#카리스마남#왕족/귀족#애잔물#회귀/타임슬립#선결혼후연애#짝사랑남#무심남#계략녀#유혹녀#나쁜여자#냉정녀#외유내강#성장물#조신남#츤데레남#평점4점이상#리뷰100개이상#단행본,4.2,4992
그믐,#별점1000개이상#3000~5000원#동양풍#첫사랑#순진녀#카리스마남#왕족/귀족#키잡물#소유욕/독점욕/질투#유혹남#존댓말남#더티토크#이야기중심#조신남#평점4점이상#리뷰100개이상#고수위#단행본,4.0,5320
위대한 소원,#별점1000개이상#2만원초과#궁정로맨스#판타지물#서양풍#첫사랑#초월적존재#다정남#절륜남#능글남#왕족/귀족#운명적사랑#능력남#집착남#오만남#능력녀#직진녀#도도녀#걸크러시#성장물#이야기중심#평점4점이상#리뷰100개이상#단행본,4.6,5384
못된 짐승을 길들이는 법,#별점1000개이상#1만원~2만원#판타지물#서양풍#전생/환생#정략결혼#까칠남#상처남#나쁜남자#절륜남#상처녀#오해#왕족/귀족#애잔물#회귀/타임슬립#선결혼후연애#몸정>맘정#소유욕/독점욕/질투#운명적사랑#능력남#집착남#능력녀#다정녀#외유내강#힐링물#더티토크#츤데레남#평점4점이상#리뷰100개이상#고수위#단행본,4.3,2436
"신부님, 신부님",#별점1000개이상#3000~5000원#판타지물#초월적존재#전생/환생#순정남#다정남#절륜남#계략남#소유욕/독점욕/질투#대형견남#외유내강#더티토크#평점4점이상#리뷰100개이상#2016년출간#고수위#단행본,4.1,8450
아주 괜찮은 연애,#별점1000개이상#3000~5000원#사내연애#까칠남#다정남#계략남#순진녀#상처녀#오해#카리스마남#잔잔물#베이비메신저#비밀연애#신분차이#몸정>맘정#사이다남#직진남#존댓말남#다정녀#순정녀#동정녀#무심녀#도도녀#외유내강#힐링물#육아물#츤데레남#평점4점이상#리뷰100개이상#단행본,4.3,2514
사내에서는 정숙할 것 (외전증보판),#별점1000개이상#1만원~2만원#현대물#로맨틱코미디#사내연애#사차원남#갑을관계#몸정>맘정#소유욕/독점욕/질투#집착남#오만남#존댓말남#평범녀#짝사랑녀#외유내강#털털녀#더티토크#츤데레남#평점4점이상#리뷰100개이상#단행본,4.3,5216
마른 장마,#별점1000개이상#5000~1만원#현대물#신데렐라#나쁜남자#후회남#절륜녀#재벌남#전문직#오만남#직진녀#이야기중심#평점4점이상#리뷰100개이상#고수위#단행본,4.2,2544
압도적 그대,#별점1000개이상#5000~1만원#현대물#로맨틱코미디#사내연애#계략남#순진녀#달달물#뇌섹남#능력남#직진남#존댓말남#평범녀#다정녀#엉뚱녀#평점4점이상#리뷰100개이상#단행본,4.1,2915
구름을 비추는 새벽,#별점1000개이상#5000~1만원#가상시대물#복수#재회물#다정남#순진녀#상처녀#오해#왕족/귀족#잔잔물#애잔물#권선징악#신분차이#운명적사랑#순정녀#동정녀#외유내강#이야기중심#츤데레남#평점4점이상#리뷰100개이상#단행본,4.4,4291
소녀는 순수하지 않다,#별점1000개이상#5000~1만원#현대물#첫사랑#연예인#친구>연인#후회남#다정남#능글남#소유욕/독점욕/질투#직진남#짝사랑남#순정녀#평점4점이상#리뷰100개이상#단행본,4.4,2948
블루트,#별점1000개이상#5000~1만원#판타지물#나쁜남자#절륜남#계략남#상처녀#카리스마남#계약연애/결혼#소유욕/독점욕/질투#능력남#외유내강#추리/미스터리/스릴러#평점4점이상#리뷰100개이상#단행본,4.1,2367
육감각 (Sensibility),#별점1000개이상#3000~5000원#현대물#재회물#상처남#순정남#동정남#절륜남#절륜녀#상처녀#소유욕/독점욕/질투#집착남#짝사랑남#능력녀#유혹녀#냉정녀#더티토크#평점4점이상#리뷰100개이상#고수위#단행본,4.2,5962
순수하지 않은 감각,#별점1000개이상#5000~1만원#현대물#절륜남#계략남#몸정>맘정#뇌섹남#뇌섹녀#능력녀#평점4점이상#리뷰100개이상#단행본,4.2,2122
과열,#별점100개이상#5000~1만원#현대물#나이차커플#나쁜남자#후회남#절륜남#상처녀#카리스마남#조직/암흑가#소유욕/독점욕/질투#순정녀#피폐물#더티토크#하드코어#리뷰100개이상#고수위#단행본,3.7,290
